name,artist
Telephones,Vacations
I Love You So,The Walters
Borderline,Tame Impala
Daddy Issues,The Neighbourhood
Think of Laura,Christopher Cross
The Less I Know The Better,Tame Impala
Jigsaw Falling Into Place,Radiohead
Lovers Rock,TV Girl
Otherside,Red Hot Chili Peppers
Exit Music (For A Film),Radiohead
i was all over her,salvia palth
Alien Blues,Vundabar
A Fool Like You,The Cleaners From Venus
We'll Meet Again,"Vera Lynn, Sailors, Soldiers & Airmen of Her Majesty's Forces, Roland Shaw And His Orchestra"
Gold Dust,Duster
Topical Solution,Duster
главное,Zemfira
na Circus,"FRIENDLY THUG 52 NGG, Skryptonite"
Прощание,"Три дня дождя, MONA"
Гоблин,Платина
До скорой встречи!,Zveri
Fallen Down,Duncan Cox
ариведерчи,Zemfira
Sunny,Boney M.
God Complex,VIOLENT VIRA
Старый отель,Bravo
Duvet,bôa
Rigatoni norma,"Daniele Benati, Fabio Di Bari, Giulio Vetrone"
Вселенная бесконечна?,Noize MC
П.М.М.Л.,Zemfira
Сикрет Плейс,LSP
снежинка,mzlff
Красота,Марія Чайковська
CLYDE (I Hope at Least One of My Ex-Girlfriends Hears This),$uicideboy$
Останусь,Gorod 312
Режиссер,Gradusy
∞,Zemfira
Donor,xxxmanera
Poterjannyy ray,Aria
From the Inside,Linkin Park
Как на войне,Agatha Christie
Freckles,"Band Spectra, Mary Leay"
I Don't Care,VIOLENT VIRA
Из-за тебя (prod. by AversAlex),тринадцать карат
ПОШЛОСТЬ,Я.СГОРЕЛ.ДВАЖДЫ
артобстрел,"STED.D, pyrokinesis"
брошен,pyrokinesis
Fight Club,Birth Day
town,mage tears
Scare,Birth Day
forcing,mage tears
reprise,salvia palth
the day you killed yourself,xójira
Four Hours,Duster
Left,sign crushes motorist
Suicide Cleanup,Birth Day
Please Stay,Birth Day
Twist Cone,Horse Jumper of Love
Burden,Midrift
Advice,Alex G
Please Don't Leave,Take Care
One Day,Take Care
Your face,Wisp
Boyhood,Birth Day
This Feeling Will Pass,Take Care
doesn't matter now,flyingfish
Do Not Enter,Glare
scars,Novulent
Orbitron,Duster
Oztroja - demo,Zeruel
О любви,Чиж & Co
absolute in doubt,"Lil Peep, Wicca Phase Springs Eternal"
Холод,shadowraze
Fallen Angels,"$LOTHBOI, Razegod"
Карусель,"море лун, pyrokinesis"
your favorite dress,"Lil Peep, Lil Tracy"
(It Goes Like) Nanana - Edit,Peggy Gou
life imitates life,quannnic
Девчонка оседлавшая молнию,pyrokinesis
Kiss In October,Sadness
Forgotten Dreams,Joler4ik
чужие песни,"playingtheangel, pyrokinesis, РЭЙДИ, STED.D"
Automotivo Bibi Fogosa,"Bibi Babydoll, Dj Brunin XM, KZA Produções"
Darkness,SWEET SPINE
Sold My Soul to Satan Waiting in Line at the Mall,$uicideboy$
Change (In the House of Flies),Deftones
ТЕНИ ХИРОСИМЫ,GONE.Fludd
Рехаб,uglystephan
ВМЕСТЕ,"Aarne, BUSHIDO ZHO"
Снова обогнал их,uglystephan
the raven,не панк
Нэнси Дрю,"ШАРЫ, pyrokinesis"
плачь,"rizza, Sqwore"
Young And Beautiful,Lana Del Rey
Summertime Sadness,Lana Del Rey
Video Games,Lana Del Rey
Каждый раз - ты,ORSLXMP
я краснею при тебе как...,pyrokinesis
Помогите Элли,pyrokinesis
i dont wna cry (haste),kurffew
"New Person, Same Old Mistakes",Tame Impala
НАУЧУСЬ ЛЕТАТЬ,MakSim
в моей голове,тринадцать карат
Непрожитая жизнь,Oxxxymiron
Ты так красива,Quest Pistols
Loyalty Before Royalty,xxxmanera
Почему да потому что,pyrokinesis
Легенда о Богине Мечей,pyrokinesis
последний лепесток,тринадцать карат
пожалей себя,uxknow
Сигаретка без кнопки,pyrokinesis
Таблетка,PLOHOYPAREN
Белый танец,LSP
Марафоны,"Три дня дождя, Роки"
Valkyrie,"STED.D, pyrokinesis"
Кладбище самолетов,Valentin Strykalo
Танцуй сама,Skryptonite
Скажи мне кто ты,xxxmanera
Сто минут в секунду,pyrokinesis
Нон стоп,Poshlaya Molly
Дети бабочек,pyrokinesis
Выдыхай,Noize MC
я не боюсь ошибаться,"mzlff, СЕРЕГА ПИРАТ"
только ты никогда не узнаешь,тринадцать карат
МАЙ МАЙ,LOVV66
if looks could kill,Destroy Lonely
Black Beatles,"Rae Sremmurd, Gucci Mane"
Riders,onimanxd
Lost Soul,NBSPLV
В городе где гаснут фонари,pyrokinesis
Komarovo (DVRST Phonk Remix),"DVRST, Igor Sklyar, Atomic Heart"
Худшее во мне,"playingtheangel, Три дня дождя"
Вина,Три дня дождя
Watch This - ARIZONATEARS Pluggnb Remix,"Lil Uzi Vert, sped up nightcore, ARIZONATEARS"
Wasted (Nightcore) [Bass Boosted],"Murkish, Huken, harmony haven"
Tearz,"PHARAOH, Boulevard Depo"
Самый дорогой человек,Нервы
Батареи,Нервы
Нервы,Нервы
Мама мне страшно,"Три дня дождя, тринадцать карат"
новогодняя,pyrokinesis
Я уёбываю в джаз,Кишлак
NEXTBOT!,HAARPER
Step Back!,"1nonly, SXMPRA"
KNIGHT CRAWLER (feat. Juice WRLD),"Trippie Redd, Juice WRLD"
H4LO,WHOKILLEDXIX
Here We Go Again,"Oliver Tree, David Guetta"
поменяет местами,тринадцать карат
такси.,тринадцать карат
Come with Me,LONGSLEEVE AND THE WEIRDBOYS
буду грустным,без обид
Дворы,ssshhhiiittt!
Я и одиночество,Три дня дождя
Blood Oceans (How Many?),"Ghostemane, PHARAOH"
Нет слов,STERVELL
ты,тринадцать карат
Силуети,"SadSvit, СТРУКТУРА ЩАСТЯ"
Девочка из Кони-Айленд,pyrokinesis
последнее лето,ooes
Неважно,Три дня дождя
Не виноваты планеты,Три дня дождя
Подозрительно,Три дня дождя
Вода,"Три дня дождя, MUKKA"
Балконы,"Нюдовый Чёс, angel vox"
обними обнимаю,тринадцать карат
Всё из-за тебя,Три дня дождя
Театр теней,Три дня дождя
молот ведьм - Remastered 2023,pyrokinesis
ХОЧЕШЬ?,Zemfira
Эйфория,"CMH, pyrokinesis"
Звезды,Molchat Doma
Гуляю,"ANGUISH, EXILED, Elfass"
море волнуется два,pyrokinesis
Shape Of Voice,"RXLZQ, ONEKLAB"
Твоим морем,Нервы
A FALLEN *star*,Lil God Dan
WASTE,KXLLSWXTCH
Бесполезные слова,pyrokinesis
Бумажный феникс,pyrokinesis
Лиза,"FACE, Squirrel Flower"
Alfa-Pvp,Кишлак
Солнечная Сторона,Loqiemean
Антидепрессант,FACE
давай расскажем,тринадцать карат
NBA,RSAC
Останови меня,pyrokinesis
Заберу,"uglystephan, Scally Milano"
Социум,БРЕДИШЬ
golden hour,JVKE
Кроме твоего лица,"INSPACE, Три дня дождя"
I Wonder,Kanye West
Nochnoe Randevu,Chernikovskaya Hata
Rich Flex,"Drake, 21 Savage"
Домино,FACE
"New Chains, Same Shackles",$uicideboy$
Кто же перерезал небу горло?,pyrokinesis
My Beautiful Madness,pyrokinesis
Отпускаю,DEVILDEADSPACE
Miss The Rage (feat. Playboi Carti),"Trippie Redd, Playboi Carti"
EA (feat. 21 Savage),"Young Nudy, 21 Savage"
Wake Up in the Sky,"Gucci Mane, Bruno Mars, Kodak Black"
Пальчики паноптикум,pyrokinesis
в ад только перед тобой в рай только после тебя,"pyrokinesis, BOOKER"
радуга земного тяготения,pyrokinesis
Love,kwko
Будь моим смыслом,Flëur
витаминки,pyrokinesis
Мой любимый погребок,pyrokinesis
Kiss,Lil Peep
одна,тринадцать карат
You and I,d4vd
From Souvenirs To Souvenirs,Demis Roussos
больше не буду,"тринадцать карат, Три дня дождя"
Lust,Lil Skies
Канкан,LSP
Пацаны II,GONE.Fludd
проваливай,тринадцать карат
фур,Naitivihod
Шанс,STED.D
Как сатурн пожирает своих детей,pyrokinesis
Structure,Odd Sweetheart
A New Kind Of Love - Demo,"Frou Frou, Imogen Heap, Guy Sigsworth"
Love Scars,Trippie Redd
Недоступен - Prod. by Johnny Friend,"Фенди, zeekayo"
ЖМУРКИ,163ONMYNECK
Звезда упала,Sqwore
засыпай,вышел покурить
Патек,"LIL KRYSTALLL, LIL MORTY"
Космос,"Skryptonite, Charusha"
U Said,Lil Peep
во снах,тринадцать карат
Дом хрустальный,LSP
T.G.G.,Santiz
Фотографии,THRILL PILL
Каждый раз,sweeperxz
Беспорядок,uglystephan
Толпа,"Кореш, treepside"
не теряй меня никогда,Naitivihod
восток моей юности,pyrokinesis
Групи,"Платина, OG Buda"
MISS ME?,"Kordhell, Scarlxrd"
Цепи,"Skryptonite, 104"
Беспредел - Remix,"Clonnex, вышел покурить"
XO Tour Llif3,Lil Uzi Vert
мертвое тело,семьсот семь
Девочка в классе,Джизус
Subwoofer Lullaby,C418
Боль осталась,Нервы
Вспоминай меня,Max Korzh
Мне скучно жить,"LSP, Oxxxymiron"
Drunk And Nasty (feat. Sharc),"Pi’erre Bourne, Sharc"
Unplugged 2: Love Kills,"PHARAOH, White Punk"
WhereTheTreesMeetTheFreeway,BONES
Стотысячекрылым,pyrokinesis
KERRIGAN,pyrokinesis
Терновый венец эволюции,pyrokinesis
"звёзды все принадлежат богам - ПОСТСКРИПТУМ ""ГЕОМЕТРИЯ ТЬМЫ""",pyrokinesis
что отличает птицу от летучей мыши,pyrokinesis
время вернуться назад,pyrokinesis
"ВРЕМЯ И КАМУШКИ АУТРО - ""ГЕОМЕТРИЯ ТЬМЫ""",pyrokinesis
геометрия тьмы,pyrokinesis
эдельвейс,pyrokinesis
люблю грозу в начале мая,pyrokinesis
шерше ля фам,pyrokinesis
нежное электричество,pyrokinesis
ветрянка,pyrokinesis
я верю только в неизбежность зла,pyrokinesis
герметика,pyrokinesis
а что если смерть существо?,pyrokinesis
претор был прав,pyrokinesis
море волнуется,pyrokinesis
Introversion 2.0,$uicideboy$
Вселенная,MUKKA
Грёзы,нехудожник.
никому не нужны,вышел покурить
Это всё,ДДТ
Батарейка,Zhuki
Молодые ветра,7B
Пачка сигарет,Lizer
Наше лето,Valentin Strykalo
На Заре,Alyans
Smoke,Beneath My Shade
Lacrimosa,"Wolfgang Amadeus Mozart, Lisa Beckley, Elena Filipova, Magdaléna Hajóssyová, Peter Mikulas, Michel Piquemal, Gloria Scalchi, Michel Piquemal Vocal Ensemble, Hungarian State Opera Chorus, Oxford Schola Cantorum"
Ski Ski,"Aarne, Big Baby Tape"
Крылья,Nautilus Pompilius
,
Падал снег,Mikhail Krug
This Feeling,my!lane
Эй,Кишлак
Тесно,"Aarne, BUSHIDO ZHO, ANIKV"
отказываю небу,pyrokinesis
молчи,кис-кис
Потерянный рай,Aria
Let Me Down Slowly,Alec Benjamin
Fingers,Lil Peep
River Flows in You,Yiruma
Выдыхай,Noize MC
Money,The Drums
Comfort Chain,Instupendo
Experience,ibi
Навсегда,Сироткин
Starry Night,Jordan Critz
Young,Vacations
Solas,Jamie Duffy
NO MERCY,Josh A
Cornfield Chase,Dorian Marko
Space Song,Beach House
Where's My Love,SYML
Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani"
505,Arctic Monkeys
Et si tu n'existais pas,Joe Dassin
Пустота,семьсот семь
шёпот далёких звёзд,pyrokinesis
À toi,Joe Dassin
Могила светлячков,pyrokinesis
Вечный двигатель,"pyrokinesis, Naitivihod"
ШОРТ ЛАВ,LOVV66
Снежинка,Папин Олимпос
RED ROZE,pyrokinesis
Зеркала,"MUKKA, LXNER"
Человечки,"STERVELL, VSEMOJNO"
"Ад пуст, все бесы здесь",pyrokinesis
СИМУЛЯКР,pyrokinesis
"Питер, чай, не Франция",pyrokinesis
Перезаряжай,Три дня дождя
Crackhouse,"PHARAOH, I61"
psiblades,"shadowraze, babyswishh1"
YEAH RIGHT,Joji
Между Нами,Lizer
Эндорфин,Max Korzh
idfc,blackbear
Положение,Skryptonite
Отпускай,Три дня дождя
Another Love,Tom Odell
ENIGMA,pyrokinesis
В моих мыслях,MAYOT
Зря,"zeekayo, Фенди"
Чемпионы пепла,pyrokinesis
Белая ночь,Chernikovskaya Hata
Боль,MUKKA
На луне,PHARAOH
Abu Dhabi Ba6y,"Платина, OG Buda, MAYOT"
Yeyo!,Шайни
Одним целым,PHARAOH
100 Friends,Onative
right here,"Lil Peep, Horse Head"
PROPHECY,SHADXWBXRN
PANIC ATTACK,PANICX
Town,RXLZQ
Привычка,Три дня дождя
HolySmokes,BONES
Тёмно-оранжевый закат,Папин Олимпос
Stolen Dance,Milky Chance
Riptide,Vance Joy
Инкассатор,ROCKET
Live Another Day,Kordhell
Москва любит...,Skryptonite
Rain,Hudi
Baby mama,"Skryptonite, Райда"
Пьяный дождь,Max Korzh
Test & Recognise - Flume Re-work,"Seekae, Flume"
Взрослые травмы,Valentin Strykalo
Infinite Tsukuyomi,ROCKET
ОКО,pyrokinesis
На кухне,Kino
Sway,Michael Bublé
12,MORGENSHTERN
Это любовь,Skryptonite
Angry toy$ - Prod. Ray Qwa,Boulevard Depo
Тайная Комната,"LILDRUGHILL, ROCKET, MARCO-9"
Мой кайф,PHARAOH
ПУСТОТА,GONE.Fludd
Проснулся В Темноте,GONE.Fludd
When You Finally,Dj Kazantip
диско элизиум,pyrokinesis
Safe And Sound,Capital Cities
Сказка,Kino
Кончится лето,Kino
Потери,Нервы
Lies Came Out My Mouth,Oliver Tree
Dynamic,KSLV Noh
I'm Gone,Oliver Tree
Never Met!,ENCASSATOR
Led,"GOTOU寄生獣, OmenXIII"
COWBELL WARRIOR!,SXMPRA
1000 Rounds,"Ghostemane, Pouya"
HOLY SMOKES!,SXMPRA
Heart Attack,Scarlxrd
Paris,$uicideboy$
Wtf U Mean,"HAARPER, Freddie Dredd"
Deira City Centre,Night Lovell
Группа крови,Kino
witchblades,"Lil Peep, Lil Tracy"
Перезвоню,ATELLWULF
Жвачка,Noize MC
Нервы,Нервы
Фотографирую закат,fem.love
Life Letters,Never Get Used To People
ФИНИТА,"STED.D, aikko"
ПРОХЛАДНО,"Я.СГОРЕЛ.ДВАЖДЫ, @strochka.mag"
Cold World,Brennan Savage
Gloss of Blood,$uicideboy$
Дешёвые драмы,Valentin Strykalo
Бесполезно,Valentin Strykalo
На балконе,ВРЕМЯ ЕСТЬ
SLOW DANCING IN THE DARK,Joji
Spotlight,"Marshmello, Lil Peep"
Нотр-Дам,нехудожник.
Записки мертвеца,нехудожник.
Красивый сказочный город,нехудожник.
Не помогает,Безальтернатива
пассивная агрессия,титоши
