name,artist
Скучать всегда,IY
Autumn Wind,DVRST
Беги от меня,Три дня дождя
Отопление,Husky
Осень,"Танди, Радиоз"
разъедаешь мне нутро,конец солнечных дней
Antarctica,$uicideboy$
СНЕГОМ,КОСМОНАВТОВ НЕТ
тпм,КОСМОНАВТОВ НЕТ
Вечно 17,pyrokinesis
ГОРОД,OZORA
Альтернатива,голод
мыльные пузыри - Acoustic demo,pyrokinesis
Дерево,Kino
Легенда,Kino
пять ошибок,STED.D
никогда,вышел покурить
баночка с окурками,КОСМОНАВТОВ НЕТ
Аквариум,Sqwore
помада,вышел покурить
Кожура,OM.
you not the same,TileKid
In Essence,Ka$tro
Omega,Hensonn
unrequited Love,Massiimassio
время,вышел покурить
Пусть меня похоронит мечта,"pyrokinesis, Aikko"
Первый снег,Сова
Кому ты звонишь,Нервы
Ты бы охуела,Нервы
Juliet,Cavetown
astral step,shadowraze
сети,quiizzzmeow
"Я помню, как мы сожгли письма у канала",PHARAOH
snowww,shiawase
"Мой ангел убил себя, я не успел с ним попрощаться",PHARAOH
Раньше в твоих глазах...,Kino
СТАЯ 1993,Loqiemean
"МОРГНИ, ЕСЛИ ТЫ В ЗАЛОЖНИКАХ",STED.D
перестань,вышел покурить
форева,источник
Гипербореи,Чернозём и Звёзды
I Cant Feel My Face,"GOTOU寄生獣, Maze"
Ультранасилие,ВЛАЖНОСТЬ
Убей меня,"Husky, maslo chernogo tmina"
Самый грустный,ssshhhiiittt!
дети немой страны,конец солнечных дней
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$
ЛУЧШЕ НИ С КЕМ,STED.D
Notion,The Rare Occasions
Не время для драконов,pyrokinesis
Прикоснувшиеся к солнцу,pyrokinesis
Я умру и все забудут,не панк
чапман ред,pyrokinesis
КАДУЦЕЙ,pyrokinesis
Silhouette Challenge - Instrumental,DJB
Aomine Daiki,quiizzzmeow
Дедлайны,pyrokinesis
Танцуй полумесяц,pyrokinesis
До последнего люмена,pyrokinesis
Моя милая пустота,pyrokinesis
Поэма о Родине,Husky
Тебя нет,ssshhhiiittt!
DRUГ - Prod. by Airblade,Boulevard Depo
"Лето, юности закат",минимаркет
Катафалк,Boulevard Depo
Сахарная вата,pyrokinesis
засыпай,ssshhhiiittt!
kassandra,pyrokinesis
Твои шипы моё оружие,pyrokinesis
Разбивай витрины,pyrokinesis
CRYOGEN,"STED.D, pyrokinesis"
светлячки,pyrokinesis
спать с тобой,хочуспать
Легенда о Боге Смерти,pyrokinesis
Седьмое октября,Husky
Rolling Stoner,Thomas Mraz
Сгораю,Noize MC
Серпантин,Markul
ONI,pyrokinesis
videoGAMEs OVER,pyrokinesis
Дайджест,Bumble Beezy
Бесконечный магазин,Husky
Иуда,Husky
SystemPreferences,BONES
Танцы,ssshhhiiittt!
CtrlAltDelete,BONES
По краю острова,"Ploho, Molchat Doma"
Dirt,BONES
MARCELINE,Lil God Dan
I Love/Hate Myself,hahapoison
Песня о привязанности,Автоспорт
Ангел,Anacondaz
Чужое горе,Pornofilmy
Below Zero,SLVG
СТИКЕР,"Lida, CMH"
I Can't Handle Change,Roar
театр,Owlneverdie
Лёд,"WENARO, LXNER"
Swing Lynn,Harmless
help_urself,Ezekiel
Все розы попадают в ад,pyrokinesis
Маленький принц,LSP
Горы по колено,Max Korzh
Динозаврики,Папин Олимпос
Демоны,Три дня дождя
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD"
Тело,LSP
Цветами радуги,pyrokinesis
Космос,"Три дня дождя, Лали"
So So,rusowsky
Stay With Me,1nonly
Я тебя люблю,Где Фантом?
Дома Молчат,Molchat Doma
Шантаж,Max Korzh
Тепло,Max Korzh
2 типа людей,Max Korzh
I Am Machine,Three Days Grace
Animal I Have Become,Three Days Grace
Полковнику никто не пишет,Би-2
Где ты,Три дня дождя
edamame,"bbno$, Rich Brian"
Сентябрь,Stigmata
Все хорошо,"Anacondaz, Inice"
Танцевать,Molchat Doma
Better Off (Dying),Lil Peep
Крыши,Molchat Doma
Cursed,pyrokinesis
Днями-ночами,"pyrokinesis, MUKKA"
Иордан,"Noize MC, Atlantida Project"
26.04,Noize MC
чайлдфри,"Noize MC, Monetochka"
Всё как у людей,Noize MC
Вселенная бесконечна?,Noize MC
Little Dark Age,MGMT
РОЗОВЫЕ СНЫ,20TOKENS
Люди Надоели,Molchat Doma
redesign,awfultune
Вояджер-1,Noize MC
Пусть они умрут,"Anacondaz, Noize MC"
В темноте,Noize MC
Тоска,Molchat Doma
Time of Dying,Three Days Grace
Ангелы не летают,pyrokinesis
Батареи,Нервы
What If,Goto Eight
So Lost,"Blank, Shiloh"
DISTORTION,LXST CXNTURY
5,pyrokinesis
Сага о маяках и скалах,"pyrokinesis, STED.D"
After Dark,Mr.Kitty
No,plenka
Lost Orion,BLESSED MANE
Dream Space,DVRST
Встречная,Перемотка
I Hate Everything About You,Three Days Grace
Space Odyssey,SPVRROW
Renee,SALES
Violent,carolesdaughter
Flashbacks - Slowed,CRASPORE
Desolation,CREEPYMANE
Night Trouble,Petit Biscuit
Spirits,The Strumbellas
Your Name,DVRST
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber"
Los,Nürnberg
Flashing Lights,"Kanye West, Dwele"
Дворецкий,NIKIMAN
in heat.,Hentai Xander
АЛИСА,pyrokinesis
Когда ты улыбаешься,Dневник Dжессики
Виа Долороса,pyrokinesis
King,XXXTENTACION
Champion of Death,"$uicideboy$, Getter"
Kill Yourself (Part III),$uicideboy$
Клетка,Molchat Doma
moment,Vierre Cloud
Пластинки,Дурной Вкус
Hurt,Oliver Tree
Visitor,plenka
Nostalgia,BLESSED MANE
Broken Smile (My All),Lil Peep
girls,"Lil Peep, Horsehead"
Lost Boy,Josh A
Как тебя покорить,Перемотка
Runaway,AURORA
Get You The Moon (feat. Snøw),"Kina, Snøw"
Молитва,Би-2
Выхода нет,Splean
Bespechnyy angel,Aria
North Memphis,Pharmacist
Так как надо,Нервы
Абсолютно чёрное тело,pyrokinesis
Нахуя тебе я,Нервы
Чёрное солнышко,pyrokinesis
Dirt,daniel silver
Wish I Was Better,"Kina, yaeow"
Scary Garry,"Kaito Shoma, DJ Paul, Kingpin Skinny Pimp"
Save That Shit,Lil Peep
the remedy for a broken heart (why am I so in love),XXXTENTACION
Чистый - OST «Псих»,Skryptonite
Closed,plenka
Suicidal Thoughts,"Josh A, iamjakehill"
INFINITY VOLUME TWO,LXST CXNTURY
TOKYO,LXST CXNTURY
1000-7,fem.love
All Girls Are The Same,Juice WRLD
Lucid Dreams,Juice WRLD
Trigger Of Love,JAWNY
Close Eyes,DVRST
ODIUM,"LXST CXNTURY, Kingpin Skinny Pimp"
Andromeda,LXST CXNTURY
Call me,90sFlav
Benz Truck (гелик),Lil Peep
Star Shopping,Lil Peep
Zombie,The Cranberries
Smells Like Teen Spirit,Nirvana
Lonely Day,System Of A Down
Street Spirit (Fade Out),Radiohead
Creep,Radiohead
Sorry,"Lil Bo Weep, nthngxxcitxsmx"
Родина,АнимациЯ
Гореть,Lumen
CODEPENDENCY,"Unaloon, Lil Bo Weep"
Я так соскучился,Pornofilmy
Untitled,"Lil Bo Weep, notmorgn"
Jerk,Oliver Tree
Summertime Sadness,Lana Del Rey
how to live,"yaeow, Powfu, Sarcastic Sounds"
Broken Parts,Smash Into Pieces
Грабли,Noize MC
ганфайтер,pyrokinesis
Fuck Love,"XXXTENTACION, Trippie Redd"
Save Me,XXXTENTACION
changes,XXXTENTACION
Hope,XXXTENTACION
False Mirror,"Lizer, FLESH"
Корми демонов по расписанию,pyrokinesis
Некуда бежать,"BOOKER, MUKKA, pyrokinesis"
VIDEOGAMES,pyrokinesis
Вороны,Нервы
Самый дорогой человек,Нервы
Words,Skylar Grey
Arcade (feat. FLETCHER),"Duncan Laurence, FLETCHER"
Спокойная ночь,Kino
ночь,ooes
Now That You're Gone,daniel silver
Freaks,Surf Curse
Changes,Hayd
anbu,"iwilldiehere, akiaura"
Я приду к тебе с клубникой в декабре,pyrokinesis
Веснушки,pyrokinesis
Прекрасное далёко,pyrokinesis
Зависимость,pyrokinesis
зима,ooes
Losing Interest,"itssvd, CORBAL, Shiloh Dynasty, Dibyo"
Psycho!,MASN
Cradles,Sub Urban
Falling,Trevor Daniel
Lonely World,Brennan Savage
